"","year","state","county","total","male","female","over 65 male","over 65 female","under 21 male","under 21 female"
"3508",2010,"13","219",31508,15609,15899,1411,1796,5611,4836
"3509",2010,"13","221",14556,7392,7164,865,1063,2521,2006
"3510",2010,"13","223",134875,66099,68776,3830,5218,24225,23244
"3511",2010,"13","225",26883,13106,13777,1250,1732,5064,4633
"3512",2010,"13","227",29155,14449,14706,1983,2422,4119,3724
"3513",2010,"13","229",18205,9037,9168,1098,1359,3066,2630
"3514",2010,"13","231",17411,8561,8850,966,1121,2794,2748
"3515",2010,"13","233",41095,20602,20493,2323,3084,7145,6058
"3516",2010,"13","235",11632,5226,6406,617,823,1458,1523
"3517",2010,"13","237",20925,10311,10614,1629,1875,2734,2588
"3518",2010,"13","239",2528,1239,1289,213,253,467,369
"3519",2010,"13","241",16266,8021,8245,1441,1813,2202,1802
"3520",2010,"13","243",7724,3526,4198,470,836,1344,1138
"3521",2010,"13","245",198170,95608,102562,8852,13099,32445,31316
"3522",2010,"13","247",83135,39758,43377,3577,4892,13654,13274
"3523",2010,"13","249",4755,2368,2387,232,220,878,752
"3524",2010,"13","251",14799,7187,7612,897,1238,2408,2355
"3525",2010,"13","253",8797,4123,4674,624,925,1252,1391
"3526",2010,"13","255",63304,30727,32577,3261,4729,10199,9546
"3527",2010,"13","257",25876,12414,13462,1721,2406,3718,3902
"3528",2010,"13","259",5831,2900,2931,461,673,968,655
"3529",2010,"13","261",32865,15610,17255,1562,2460,5647,5409
"3530",2010,"13","263",6920,3221,3699,441,615,921,1032
"3531",2010,"13","265",2041,1002,1039,157,216,225,267
"3532",2010,"13","267",24263,13589,10674,1166,1673,3567,3347
"3533",2010,"13","269",8875,4448,4427,523,722,1536,1160
"3534",2010,"13","271",16052,8994,7058,821,1311,2055,2154
"3535",2010,"13","273",9647,4711,4936,536,839,1621,1410
"3536",2010,"13","275",44451,21065,23386,2618,3938,6819,6586
"3537",2010,"13","277",39823,19218,20605,2005,2995,6789,6725
"3538",2010,"13","279",27151,12840,14311,1426,2158,4367,4675
"3539",2010,"13","281",10430,4568,5862,1316,1639,971,1631
"3540",2010,"13","283",6835,3312,3523,341,556,870,1046
"3541",2010,"13","285",65652,31607,34045,3138,4783,11061,10380
"3542",2010,"13","287",9025,4391,4634,483,779,1532,1410
"3543",2010,"13","289",9385,4652,4733,611,761,1384,1230
"3544",2010,"13","291",21083,10367,10716,2490,2778,2510,2157
"3545",2010,"13","293",27308,13152,14156,1647,2475,4293,3794
"3546",2010,"13","295",67845,33167,34678,4121,5784,10083,9583
"3547",2010,"13","297",81491,39790,41701,3844,5316,13289,12473
"3548",2010,"13","299",36006,17869,18137,2117,3216,5484,5259
"3549",2010,"13","301",5936,2730,3206,398,583,844,912
"3550",2010,"13","303",21112,10589,10523,1081,1709,3281,3023
"3551",2010,"13","305",29705,15526,14179,1631,2074,4692,4245
"3552",2010,"13","307",2727,1270,1457,170,251,358,418
"3553",2010,"13","309",7093,4657,2436,368,510,916,695
"3554",2010,"13","311",26498,13079,13419,2049,2353,3833,3482
"3555",2010,"13","313",99910,50091,49819,4532,6115,17955,16505
"3556",2010,"13","315",9041,5235,3806,530,806,1278,1029
"3557",2010,"13","317",10580,5018,5562,804,1136,1484,1486
"3558",2010,"13","319",9685,4642,5043,598,855,1458,1433
"3559",2010,"13","321",21712,10449,11263,1274,1722,3563,3222
"3560",2010,"15","001",180362,90447,89915,11839,13479,26218,24644
"3561",2010,"15","003",936984,469004,467980,57722,75684,137802,125829
"3562",2010,"15","005",74,41,33,20,9,0,0
"3563",2010,"15","007",65460,32865,32595,4213,5263,9492,8621
"3564",2010,"15","009",150711,75845,74866,8167,10004,21522,20072
"3565",2010,"16","001",380718,190901,189817,16468,21407,61309,58954
"3566",2010,"16","003",3942,1974,1968,421,306,476,564
"3567",2010,"16","005",80701,39915,40786,3855,4832,13835,13759
"3568",2010,"16","007",6026,2958,3068,504,563,922,1010
"3569",2010,"16","009",9302,4743,4559,785,778,1388,1221
"3570",2010,"16","011",44496,22226,22270,2304,2638,8669,8378
"3571",2010,"16","013",21329,10976,10353,1188,1044,3011,2811
"3572",2010,"16","015",7122,3643,3479,534,422,908,927
"3573",2010,"16","017",40711,20442,20269,3213,3368,5287,5149
"3574",2010,"16","019",100213,50014,50199,4764,5996,18559,17573
"3575",2010,"16","021",10792,5353,5439,890,823,1709,1549
"3576",2010,"16","023",2842,1362,1480,285,313,332,436
"3577",2010,"16","025",1216,707,509,62,63,278,131
"3578",2010,"16","027",182723,90776,91947,8475,10549,35011,33200
"3579",2010,"16","029",6900,3503,3397,501,587,1141,1036
"3580",2010,"16","031",22109,11149,10960,1222,1600,4452,4009
"3581",2010,"16","033",857,473,384,82,70,160,103
"3582",2010,"16","035",8766,4762,4004,939,912,1015,842
"3583",2010,"16","037",4277,2337,1940,327,375,708,372
"3584",2010,"16","039",26669,13709,12960,1148,1356,5109,4631
"3585",2010,"16","041",12497,6365,6132,739,852,2671,2381
"3586",2010,"16","043",13062,6757,6305,903,849,2305,2228
"3587",2010,"16","045",16778,8328,8450,1387,1566,2557,2438
"3588",2010,"16","047",15140,7795,7345,1147,1204,2623,2497
"3589",2010,"16","049",15947,8297,7650,1677,1580,2086,1958
"3590",2010,"16","051",24523,12304,12219,1096,1280,4958,4728
"3591",2010,"16","053",21282,10780,10502,1101,1195,3998,3907
"3592",2010,"16","055",134851,66387,68464,8690,10185,20953,19718
"3593",2010,"16","057",36645,18905,17740,1653,1962,6825,5989
"3594",2010,"16","059",7861,3881,3980,835,818,981,1076
"3595",2010,"16","061",3761,1878,1883,385,444,488,496
"3596",2010,"16","063",5021,2585,2436,263,269,829,886
"3597",2010,"16","065",36413,17707,18706,893,1110,7089,9938
"3598",2010,"16","067",19524,9847,9677,1278,1513,3527,3170
"3599",2010,"16","069",38886,19328,19558,3077,3758,5681,5137
"3600",2010,"16","071",4212,2147,2065,322,395,829,655
"3601",2010,"16","073",11389,5913,5476,721,757,1961,1849
"3602",2010,"16","075",22451,11022,11429,1538,1772,3846,3812
"3603",2010,"16","077",7633,3855,3778,424,483,1351,1494
"3604",2010,"16","079",12917,6546,6371,1175,1299,1693,1417
"3605",2010,"16","081",9413,4964,4449,298,302,1486,1334
"3606",2010,"16","083",74929,36858,38071,4601,5788,12334,12331
"3607",2010,"01","001",53155,25780,27375,2566,3494,8969,8570
"3608",2010,"01","003",175791,85902,89889,13443,15547,24592,23849
"3609",2010,"01","005",27699,14652,13047,1607,2199,3954,3708
"3610",2010,"01","007",22610,12162,10448,1184,1628,3512,2926
"3611",2010,"01","009",56692,28080,28612,3503,4551,8726,8177
"3612",2010,"01","011",10923,5848,5075,483,845,1760,1443
"3613",2010,"01","013",20895,9810,11085,1339,2083,3194,2853
"3614",2010,"01","015",117149,56312,60837,6735,9762,17604,17200
"3615",2010,"01","017",34579,16408,18171,2241,3390,4925,4893
"3616",2010,"01","019",25700,12804,12896,2039,2465,3446,2892
"3617",2010,"01","021",43121,21298,21823,2525,3203,6825,6287
"3618",2010,"01","023",14111,6859,7252,1051,1411,2131,1875
"3619",2010,"01","025",26255,12375,13880,1700,2310,4239,4415
"3620",2010,"01","027",14040,6873,7167,1121,1393,1831,1874
"3621",2010,"01","029",14823,7397,7426,1035,1297,2224,2048
"3622",2010,"01","031",48349,23740,24609,2974,4058,7041,6894
"3623",2010,"01","033",54446,26172,28274,3866,5416,7688,7040
"3624",2010,"01","035",13382,6815,6567,1016,1305,2425,1544
"3625",2010,"01","037",11470,5666,5804,866,1043,1571,1435
"3626",2010,"01","039",37608,18222,19386,2803,3993,5496,5203
"3627",2010,"01","041",13928,6737,7191,888,1374,1973,1884
"3628",2010,"01","043",79941,39719,40222,5322,7077,12137,10971
"3629",2010,"01","045",49730,24536,25194,2817,3790,7740,7144
"3630",2010,"01","047",44066,20296,23770,2416,3625,7157,7225
"3631",2010,"01","049",70038,34584,35454,4041,5526,10987,10281
"3632",2010,"01","051",77650,38248,39402,3968,4918,12017,11148
"3633",2010,"01","053",37996,19429,18567,2373,3182,5532,5387
"3634",2010,"01","055",104066,50213,53853,6646,9569,15175,14349
"3635",2010,"01","057",17472,8533,8939,1358,1781,2618,2277
"3636",2010,"01","059",31383,15579,15804,1986,2669,4934,4501
"3637",2010,"01","061",26541,12893,13648,1937,2635,3747,3617
"3638",2010,"01","063",9255,4435,4820,622,807,1565,1288
"3639",2010,"01","065",16168,7732,8436,952,1341,2623,2551
"3640",2010,"01","067",17148,8193,8955,1262,1718,2307,2269
"3641",2010,"01","069",99029,47512,51517,5736,8037,15239,14325
"3642",2010,"01","071",53386,26224,27162,3648,4690,7619,6987
"3643",2010,"01","073",656912,310892,346020,33436,52059,97594,94462
"3644",2010,"01","075",14743,7083,7660,1106,1551,2046,2024
"3645",2010,"01","077",91762,43841,47921,6325,8730,12818,13214
"3646",2010,"01","079",34235,16765,17470,2064,2631,5039,4744
"3647",2010,"01","081",135010,66748,68262,5109,6796,24589,23914
"3648",2010,"01","083",78614,39883,38731,4182,5323,11644,10998
"3649",2010,"01","085",11731,5464,6267,710,917,1780,1939
"3650",2010,"01","087",21699,9926,11773,1198,1806,3646,4076
"3651",2010,"01","089",323080,158503,164577,16606,22190,50211,47734
"3652",2010,"01","091",21296,10064,11232,1390,1982,3513,3197
"3653",2010,"01","093",30792,15232,15560,2357,3203,4132,3923
"3654",2010,"01","095",90867,44733,46134,5554,7650,14353,13608
"3655",2010,"01","097",408620,196200,212420,21202,30285,65198,62899
"3656",2010,"01","099",23329,11262,12067,1469,2010,3803,3549
"3657",2010,"01","101",228018,108532,119486,10635,16219,36826,35186
"3658",2010,"01","103",117632,57601,60031,6834,9309,17276,16851
"3659",2010,"01","105",10684,4901,5783,717,1002,1624,1943
"3660",2010,"01","107",19917,9437,10480,1390,1918,2958,2842
"3661",2010,"01","109",32147,15200,16947,1713,2303,5345,5737
"3662",2010,"01","111",22817,11254,11563,1593,2220,3555,3236
"3663",2010,"01","113",51663,24660,27003,2645,3975,8250,8155
"3664",2010,"01","115",80658,40348,40310,4536,5710,12023,11129
"3665",2010,"01","117",187880,92040,95840,8433,10470,29188,27604
"3666",2010,"01","119",13871,6325,7546,758,1280,2300,2358
"3667",2010,"01","121",82347,40125,42222,4736,6560,12061,12062
"3668",2010,"01","123",41534,20052,21482,2986,4017,5915,5762
"3669",2010,"01","125",188331,91206,97125,8298,11844,31861,32580
"3670",2010,"01","127",67612,32867,34745,4458,6232,9517,8954
"3671",2010,"01","129",17556,8925,8631,1146,1386,3168,2259
"3672",2010,"01","131",12012,5658,6354,666,1008,1897,1989
"3673",2010,"01","133",24687,12140,12547,1795,2383,3398,3210
"3674",2010,"02","013",3703,2662,1041,68,59,238,168
"3675",2010,"02","016",6259,4781,1478,194,45,517,264
"3676",2010,"02","020",284267,144040,140227,8986,10783,47784,44581
"3677",2010,"02","050",16838,8745,8093,447,479,3802,3681
"3678",2010,"02","060",1049,529,520,44,73,209,188
"3679",2010,"02","068",1144,629,515,37,25,100,198
"3680",2010,"02","070",4817,2524,2293,173,173,1077,930
"3681",2010,"02","090",94439,49867,44572,2832,2854,17171,14898
"3682",2010,"02","100",1658,888,770,148,204,251,194
"3683",2010,"02","105",2029,1037,992,153,132,204,196
"3684",2010,"02","110",30975,15737,15238,1129,1230,4833,4318
"3685",2010,"02","122",53917,28144,25773,2806,2639,8048,7505
"3686",2010,"02","130",13396,6708,6688,623,643,1990,2000
"3687",2010,"02","150",13349,6996,6353,472,421,2481,2170
"3688",2010,"02","164",1626,796,830,47,62,443,414
"3689",2010,"02","170",84147,43479,40668,3138,3085,15309,13948
"3690",2010,"02","180",9315,4976,4339,274,284,2087,1789
"3691",2010,"02","185",8852,4886,3966,173,316,1997,1577
"3692",2010,"02","188",7477,3998,3479,197,242,1737,1531
"3693",2010,"02","195",3841,2102,1739,170,220,563,461
"3694",2010,"02","198",5507,3003,2504,306,229,850,769
"3695",2010,"02","220",8894,4391,4503,356,485,1216,1402
"3696",2010,"02","230",1140,663,477,35,31,262,117
"3697",2010,"02","240",6935,3807,3128,328,265,1256,1169
"3698",2010,"02","261",9606,5147,4459,344,340,1543,1375
"3699",2010,"02","270",7398,3908,3490,170,203,2029,1756
"3700",2010,"02","275",2338,1105,1233,226,178,358,432
"3701",2010,"02","282",638,344,294,36,28,141,101
"3702",2010,"02","290",5635,3027,2608,300,214,1024,919
"3703",2010,"04","001",70312,35040,35272,3575,4156,14417,13599
"3704",2010,"04","003",129268,65729,63539,10344,11328,19476,18073
"3705",2010,"04","005",131824,65445,66379,5168,6067,24183,23566
"3706",2010,"04","007",53272,26401,26871,5670,6214,7046,7181
"3707",2010,"04","009",36030,19269,16761,1941,2308,6584,6346
"3708",2010,"04","011",8318,4416,3902,433,518,1527,1223
"3709",2010,"04","012",20549,10614,9935,3521,3059,2230,1928
"3710",2010,"04","013",3751410,1860668,1890742,192910,244554,623547,590595
"3711",2010,"04","015",199177,99877,99300,21752,22008,26104,24428
"3712",2010,"04","017",107060,53361,53699,6309,6982,20108,19377
"3713",2010,"04","019",964462,473434,491028,64113,80076,146022,141606
"3714",2010,"04","021",329297,173429,155868,22322,23635,52016,47491
"3715",2010,"04","023",46051,22403,23648,2660,3690,8986,7652
"3716",2010,"04","025",209260,102626,106634,22526,25023,26225,24121
"3717",2010,"04","027",190526,95522,95004,14769,15597,34267,32114
"3718",2010,"05","001",19321,9482,9839,1314,1817,2775,2590
"3719",2010,"05","003",22126,10701,11425,1525,1946,3359,3207
"3720",2010,"05","005",41388,19869,21519,5368,5947,4567,4408
"3721",2010,"05","007",209911,103685,106226,11473,14046,35355,33394
"3722",2010,"05","009",36710,17875,18835,2808,3564,5248,5113
"3723",2010,"05","011",11638,5636,6002,897,1177,1575,1606
"3724",2010,"05","013",5529,2804,2725,401,534,862,703
"3725",2010,"05","015",26971,13353,13618,2197,2607,3657,3404
"3726",2010,"05","017",12102,5893,6209,863,1252,1774,1679
"3727",2010,"05","019",23083,10998,12085,1373,2022,3853,4423
"3728",2010,"05","021",16297,7912,8385,1331,1875,2318,2180
"3729",2010,"05","023",25692,12633,13059,2744,3157,3307,3026
"3730",2010,"05","025",8769,4334,4435,621,752,1319,1276
"3731",2010,"05","027",24756,11773,12983,1569,2338,4012,4038
"3732",2010,"05","029",21059,10411,10648,1595,1960,3296,2976
"3733",2010,"05","031",93329,45365,47964,4525,6400,15464,14887
"3734",2010,"05","033",60778,30091,30687,3481,4250,10008,9292
"3735",2010,"05","035",50673,24080,26593,2126,3143,8869,9044
"3736",2010,"05","037",18144,8703,9441,1097,1548,2785,2846
"3737",2010,"05","039",8280,4062,4218,604,850,1233,1191
"3738",2010,"05","041",13351,6313,7038,832,1172,2145,2000
"3739",2010,"05","043",18546,9002,9544,1134,1484,2820,2900
"3740",2010,"05","045",108375,53175,55200,4574,6056,19152,18843
"3741",2010,"05","047",18176,8822,9354,1284,1747,2768,2735
"3742",2010,"05","049",12263,5995,6268,1298,1460,1616,1505
"3743",2010,"05","051",95290,46368,48922,8775,10864,12753,11634
"3744",2010,"05","053",17657,8790,8867,1142,1348,2645,2501
"3745",2010,"05","055",41318,20337,20981,2473,3378,6527,5921
"3746",2010,"05","057",22747,11027,11720,1407,1892,3707,3618
"3747",2010,"05","059",32671,16584,16087,2212,2803,4820,4315
"3748",2010,"05","061",13778,6607,7171,885,1216,2274,2268
"3749",2010,"05","063",35994,17528,18466,2279,3116,5256,5267
"3750",2010,"05","065",13636,7016,6620,1483,1664,1669,1468
"3751",2010,"05","067",18015,8923,9092,1160,1649,2440,2109
"3752",2010,"05","069",78447,38541,39906,4144,5943,12498,12043
"3753",2010,"05","071",25180,12539,12641,1588,2045,4068,3966
"3754",2010,"05","073",7764,3983,3781,650,800,1372,1008
"3755",2010,"05","075",17340,8503,8837,1317,1761,2663,2604
"3756",2010,"05","077",10709,5868,4841,666,902,1465,1441
"3757",2010,"05","079",14203,8352,5851,725,986,2237,1746
"3758",2010,"05","081",13145,6429,6716,913,1237,2001,1627
"3759",2010,"05","083",22580,11335,11245,1718,2180,3547,3192
"3760",2010,"05","085",65846,32441,33405,3067,4125,10956,10232
"3761",2010,"05","087",15507,7750,7757,1029,1210,2275,2261
"3762",2010,"05","089",16779,8325,8454,1866,1949,1995,1833
"3763",2010,"05","091",43048,21167,21881,2450,3332,6876,6411
"3764",2010,"05","093",46815,22528,24287,2319,3362,7946,7829
"3765",2010,"05","095",8492,3973,4519,644,924,1238,1305
"3766",2010,"05","097",9490,4737,4753,950,1092,1342,1194
"3767",2010,"05","099",9149,4502,4647,698,900,1362,1299
"3768",2010,"05","101",8394,4307,4087,738,861,1186,1001
"3769",2010,"05","103",26293,12434,13859,1774,2632,3807,3641
"3770",2010,"05","105",10435,5174,5261,776,928,1487,1409
"3771",2010,"05","107",22412,10496,11916,1320,1977,4058,3885
"3772",2010,"05","109",11286,5709,5577,831,1077,1960,1552
"3773",2010,"05","111",24703,11915,12788,1612,2180,3716,3718
"3774",2010,"05","113",20490,10040,10450,1787,2176,2913,2884
"3775",2010,"05","115",60460,29920,30540,3227,4447,10052,9754
"3776",2010,"05","117",8839,4380,4459,771,903,1258,1077
"3777",2010,"05","119",377060,180990,196070,17813,26412,56145,53963
"3778",2010,"05","121",18049,8762,9287,1385,1927,2634,2574
"3779",2010,"05","123",28302,15162,13140,1486,1894,4342,4093
"3780",2010,"05","125",102439,50837,51602,6882,8182,15174,13913
"3781",2010,"05","127",11226,5702,5524,902,1091,1887,1430
"3782",2010,"05","129",8227,3984,4243,751,935,976,1128
"3783",2010,"05","131",123847,60611,63236,6636,9261,19586,18962
"3784",2010,"05","133",16636,8160,8476,959,1158,2956,2815
"3785",2010,"05","135",17432,8597,8835,1897,2185,2216,2084
"3786",2010,"05","137",12321,6082,6239,1261,1429,1500,1476
"3787",2010,"05","139",42180,20477,21703,2660,3915,6359,5884
"3788",2010,"05","141",17237,8460,8777,1827,2062,2196,2004
"3789",2010,"05","143",197192,98656,98536,7901,10731,34426,33447
"3790",2010,"05","145",74957,36508,38449,4470,5950,12171,11932
"3791",2010,"05","147",7505,3578,3927,516,788,1073,978
"3792",2010,"05","149",21895,10884,11011,1420,1816,3565,3298
"3793",2010,"06","001",1477980,725077,752903,67519,92174,217548,206158
"3794",2010,"06","003",1176,666,510,77,39,194,197
"3795",2010,"06","005",38327,20781,17546,3520,3869,4240,3886
"3796",2010,"06","007",218635,108175,110460,14324,18751,34219,32576
"3797",2010,"06","009",45994,22978,23016,4412,4800,5764,5173
"3798",2010,"06","011",21165,10839,10326,1177,1259,4019,3474
"3799",2010,"06","013",1024809,500249,524560,52946,70566,158290,150636
"3800",2010,"06","015",28471,15654,12817,1829,2106,4014,3789
"3801",2010,"06","017",179053,89764,89289,11514,12985,26323,24373
"3802",2010,"06","019",908830,454107,454723,38721,50924,171887,164474
"3803",2010,"06","021",27935,14076,13859,1641,1941,4964,4610
"3804",2010,"06","023",133058,66509,66549,7492,9603,19093,18303
"3805",2010,"06","025",168052,86759,81293,7956,9337,31585,29315
"3806",2010,"06","027",18434,9224,9210,1567,1852,2335,2306
"3807",2010,"06","029",815693,420962,394731,32525,39877,156263,146135
"3808",2010,"06","031",151122,85889,65233,5303,6344,27076,24466
"3809",2010,"06","033",64371,32294,32077,5235,5789,8611,8079
"3810",2010,"06","035",35081,22863,12218,1583,1649,4670,3621
"3811",2010,"06","037",9758256,4811964,4946292,434103,591938,1568521,1494653
"3812",2010,"06","039",147738,71232,76506,7694,8795,26753,24880
"3813",2010,"06","041",248601,122533,126068,17149,22234,31010,28726
"3814",2010,"06","043",18290,9159,9131,1830,1794,1951,2295
"3815",2010,"06","045",87487,43955,43532,5891,7134,12652,11354
"3816",2010,"18","049",20684,10251,10433,1392,1862,3132,2916
"3817",2010,"18","051",33386,16615,16771,2124,2996,5056,4804
"3818",2010,"18","053",70176,33942,36234,4712,6448,10962,10665
"3819",2010,"18","055",33084,16386,16698,2217,2931,5056,4585
"3820",2010,"18","057",261244,127760,133484,9269,12230,45106,42841
"3821",2010,"18","059",68011,33346,34665,3685,4622,10585,10360
"3822",2010,"18","061",38616,19238,19378,2231,2836,5775,5541
"3823",2010,"18","063",140028,69894,70134,6193,8229,22820,21336
"3824",2010,"18","065",48921,24749,24172,3271,4573,6729,6563
"3825",2010,"18","067",83326,40022,43304,5428,7488,11977,12044
"3826",2010,"18","069",37321,18239,19082,2232,3133,5683,5658
"3827",2010,"18","071",41902,20766,21136,2490,3413,6263,5920
"3828",2010,"18","073",33055,16592,16463,1973,2543,5625,4993
"3829",2010,"18","075",21441,10505,10936,1356,1880,3527,3298
"3830",2010,"18","077",32393,15679,16714,1913,2555,4787,4995
"3831",2010,"18","079",28470,14255,14215,1512,1904,4597,4300
"3832",2010,"18","081",135994,66709,69285,6841,9313,22488,20902
"3833",2010,"18","083",38425,19261,19164,2410,3579,6769,5424
"3834",2010,"18","085",76982,38318,38664,4345,5609,12041,11610
"3835",2010,"18","087",36996,18696,18300,1865,2288,7702,6917
"3836",2010,"18","089",494417,238618,255799,27004,38091,78664,75597
"3837",2010,"18","091",110937,57350,53587,6569,8854,16137,14976
"3838",2010,"18","093",46192,22825,23367,3165,4228,6980,6210
"3839",2010,"18","095",131444,65491,65953,8341,11477,19523,18087
"3840",2010,"18","097",890976,429956,461020,38080,56998,139902,135745
"3841",2010,"18","099",46976,23344,23632,2749,3905,7798,7208
"3842",2010,"18","101",10324,5233,5091,711,876,1519,1431
"3843",2010,"18","103",37307,19423,17884,2283,3045,5654,5256
"3844",2010,"18","105",134442,66832,67610,5645,7698,24820,24903
"3845",2010,"18","107",38138,19183,18955,2470,3294,6417,5519
"3846",2010,"18","109",68654,34013,34641,3783,4697,10858,10039
"3847",2010,"18","111",14300,7233,7067,1033,1206,2064,1932
"3848",2010,"18","113",47513,23780,23733,2464,3301,7846,7532
"3849",2010,"18","115",6067,2978,3089,432,513,817,781
"3850",2010,"18","117",19820,9805,10015,1342,1710,2928,2894
"3851",2010,"18","119",21737,10940,10797,1449,1652,3282,3046
"3852",2010,"18","121",17394,8100,9294,1243,1407,2332,2196
"3853",2010,"18","123",19316,10304,9012,1256,1683,2692,2408
"3854",2010,"18","125",12955,6532,6423,937,1180,1798,1668
"3855",2010,"18","127",162026,79624,82402,8346,11054,24834,24195
"3856",2010,"18","129",26100,13020,13080,1578,2020,4028,3676
"3857",2010,"18","131",13596,6784,6812,978,1210,2140,1996
"3858",2010,"18","133",38048,20060,17988,2205,2790,5904,5681
"3859",2010,"18","135",26262,12849,13413,1892,2466,3870,3799
"3860",2010,"18","137",28570,14056,14514,1758,2314,4580,4389
"3861",2010,"18","139",17568,8604,8964,1173,1570,2598,2652
"3862",2010,"18","141",266522,129202,137320,14356,20658,43872,43010
"3863",2010,"18","143",24109,11923,12186,1340,1759,3613,3427
"3864",2010,"18","145",44237,21948,22289,2567,3456,6623,6422
"3865",2010,"18","147",20977,10581,10396,1380,1713,3037,2928
"3866",2010,"18","149",23343,11551,11792,1623,1928,3546,3387
"3867",2010,"18","151",34092,17211,16881,2148,2634,5213,4858
"3868",2010,"18","153",21520,11653,9867,1322,1768,3224,2707
"3869",2010,"18","155",10393,5247,5146,662,774,1605,1553
"3870",2010,"18","157",168635,86032,82603,6533,9067,33512,29573
"3871",2010,"18","159",16132,7961,8171,1110,1540,2376,2141
"3872",2010,"18","161",7463,3698,3765,461,613,1199,1037
"3873",2010,"18","163",178298,85732,92566,10218,15390,25785,26722
"3874",2010,"18","165",16412,8107,8305,1103,1569,2387,2100
"3875",2010,"18","167",107151,53902,53249,5697,8697,17086,16105
"3876",2010,"18","169",33225,16217,17008,2426,3415,5145,4778
"3877",2010,"18","171",8563,4290,4273,585,741,1324,1206
"3878",2010,"18","173",58393,28736,29657,3255,4194,9239,8415
"3879",2010,"18","175",28226,14141,14085,1678,2001,4417,4253
"3880",2010,"18","177",69187,33470,35717,4626,6529,10295,9923
"3881",2010,"18","179",27744,13650,14094,1752,2488,4178,4020
"3882",2010,"18","181",24734,12177,12557,1799,2369,3652,3440
"3883",2010,"18","183",32991,16492,16499,1862,2595,5019,4615
"3884",2010,"19","001",7779,3862,3917,782,943,1132,961
"3885",2010,"19","003",4127,2034,2093,348,531,549,464
"3886",2010,"19","005",14331,7247,7084,1244,1499,2050,2007
"3887",2010,"19","007",13029,6288,6741,1114,1494,1814,1791
"3888",2010,"19","009",6186,2988,3198,590,843,808,834
"3889",2010,"19","011",26098,13083,13015,1707,2221,4045,3725
"3890",2010,"19","013",129252,62698,66554,7554,10383,19658,20725
"3891",2010,"19","015",26424,13177,13247,1751,2430,4025,3504
"3892",2010,"19","017",24185,11878,12307,1719,2346,3880,3789
"3893",2010,"19","019",21026,10441,10585,1408,1803,3384,3186
"3894",2010,"19","021",19980,10036,9944,1238,1897,3488,3164
"3895",2010,"19","023",14892,7271,7621,1273,1700,1949,2040
"3896",2010,"19","025",9846,4801,5045,975,1332,1103,1213
"3897",2010,"19","027",20805,10079,10726,1573,2375,3025,2966
"3898",2010,"19","029",13969,6922,7047,1222,1743,2059,1776
"3899",2010,"19","031",18414,9030,9384,1278,1784,2654,2589
"3900",2010,"19","033",44324,21467,22857,3288,4731,6083,5815
"3901",2010,"19","035",12086,5973,6113,1077,1566,1603,1433
"3902",2010,"19","037",12499,6279,6220,1028,1336,1778,1683
"3903",2010,"19","039",9218,4628,4590,647,928,1441,1187
"3904",2010,"19","041",16718,8134,8584,1234,1860,2280,2218
"3905",2010,"19","043",18202,9165,9037,1533,1925,2570,2474
"3906",2010,"19","045",49274,24164,25110,3435,4733,7309,7098
"3907",2010,"19","047",16951,8574,8377,1189,1640,2838,2505
"3908",2010,"19","049",61714,30120,31594,2559,3485,9871,9558
"3909",2010,"19","051",8687,4309,4378,620,845,1487,1460
"3910",2010,"19","053",8508,4269,4239,679,875,1513,1316
"3911",2010,"19","055",17857,8797,9060,1304,1662,2591,2645
"3912",2010,"19","057",40266,19547,20719,2861,4055,5948,5496
"3913",2010,"19","059",16665,8306,8359,1600,2036,1899,1727
"3914",2010,"19","061",92547,45367,47180,5866,8202,14446,14270
"3915",2010,"19","063",10389,5241,5148,830,1149,1526,1436
"3916",2010,"19","065",20992,10319,10673,1717,2389,2928,3048
"3917",2010,"19","067",16394,7990,8404,1407,1838,2391,2294
"3918",2010,"19","069",10697,5314,5383,892,1217,1507,1482
"3919",2010,"19","071",7528,3759,3769,629,817,1111,994
"3920",2010,"19","073",9448,4670,4778,801,1177,1387,1145
"3921",2010,"19","075",12401,6102,6299,1001,1349,1749,1682
"3922",2010,"19","077",11040,5442,5598,918,1235,1556,1427
"3923",2010,"19","079",15874,7869,8005,1205,1664,2317,2151
"3924",2010,"19","081",11505,5753,5752,894,1257,1612,1474
"3925",2010,"19","083",17685,8829,8856,1525,2181,2795,2323
"3926",2010,"19","085",15073,7443,7630,1126,1536,2218,2018
"3927",2010,"19","087",20263,10151,10112,1308,1791,3039,2960
"3928",2010,"19","089",9610,4745,4865,786,1066,1445,1286
"3929",2010,"19","091",9905,4847,5058,877,1186,1426,1335
"3930",2010,"19","093",7172,3551,3621,622,869,1057,946
"3931",2010,"19","095",16353,8031,8322,1154,1651,2258,2347
"3932",2010,"19","097",19942,9836,10106,1586,2056,2815,2658
"3933",2010,"19","099",37050,18893,18157,2544,3465,5097,4742
"3934",2010,"19","101",16643,8163,8480,996,1506,1981,2099
"3935",2010,"19","103",126994,63145,63849,4487,5976,21509,21195
"3936",2010,"19","105",20708,10742,9966,1526,1949,2785,2736
"3937",2010,"19","107",10614,5265,5349,851,1168,1538,1423
"3938",2010,"19","109",15748,7722,8026,1476,1965,2216,2156
"3939",2010,"19","111",35991,18212,17779,2531,3500,5153,4619
