"","year","state","county","total","male","female","over 65 male","over 65 female","under 21 male","under 21 female"
"102",2009,"13","295",64295,31321,32974,3603,5565,9389,9058
"103",2009,"13","297",82243,40251,41992,3842,5454,13328,12862
"104",2009,"13","299",35658,17678,17980,2038,3370,5505,5184
"105",2009,"13","301",5887,2626,3261,407,563,807,944
"106",2009,"13","303",20608,9248,11360,1021,1702,3150,3056
"107",2009,"13","305",28954,15134,13820,1494,1959,4750,4287
"108",2009,"13","307",2203,1022,1181,133,181,244,382
"109",2009,"13","309",6819,4124,2695,250,563,842,714
"110",2009,"13","311",24702,12114,12588,1806,2148,3557,3528
"111",2009,"13","313",92292,46252,46040,4176,5592,16753,15336
"112",2009,"13","315",8721,5048,3673,442,733,1270,1015
"113",2009,"13","317",10292,4855,5437,751,1171,1486,1418
"114",2009,"13","319",10044,4842,5202,589,848,1584,1518
"115",2009,"13","321",21351,10231,11120,1214,1697,3409,3192
"116",2009,"15","001",172370,86751,85619,10757,12827,26129,23308
"117",2009,"15","003",902564,457109,445455,55851,75100,133675,118193
"118",2009,"15","005",78,41,37,21,15,0,0
"119",2009,"15","007",63033,31660,31373,4043,5128,9368,8286
"120",2009,"15","009",142196,72063,70133,7561,9283,20354,18995
"121",2009,"16","001",368791,185742,183049,15675,20173,58325,55355
"122",2009,"16","003",3520,1732,1788,327,252,423,493
"123",2009,"16","005",80428,39356,41072,3806,4743,13860,14783
"124",2009,"16","007",5859,2865,2994,439,546,962,979
"125",2009,"16","009",9246,4709,4537,769,770,1449,1282
"126",2009,"16","011",43635,21820,21815,2143,2594,8569,8400
"127",2009,"16","013",21775,11399,10376,1150,1025,3214,2819
"128",2009,"16","015",7467,3781,3686,494,393,893,1023
"129",2009,"16","017",40878,20430,20448,2900,3129,5545,5447
"130",2009,"16","019",96238,48217,48021,4666,5586,17877,17092
"131",2009,"16","021",10748,5275,5473,761,776,1671,1688
"132",2009,"16","023",2769,1347,1422,240,252,349,428
"133",2009,"16","025",1040,580,460,45,51,204,130
"134",2009,"16","027",176820,88578,88242,8001,10226,33756,31604
"135",2009,"16","029",6888,3499,3389,482,559,1116,1071
